name,pop,lon,lat
강원도,786,128.6275811,37.53369918
경기도,40,127.4681977,37.7843937
경상남도,117,128.348324,35.525886
경상북도,1374,128.9046213,36.33097658
대구광역시,58,128.5765207,35.89619421
부산광역시,47,129.1641536,35.28317732
세종특별자치시,14,127.300252,36.60441271
울산광역시,24,129.245905,35.42307292
인천광역시,7,126.2156589,37.68725386
전라남도,412,126.6165023,34.60924369
전라북도,526,127.4220196,35.75421008
충청남도,1,127.383833,36.812111
충청북도,232,128.0359602,36.89194654
