,objectid,학명,국명,lon,lat,조사일자,조사년도,시도명
1009,4084,"Hydropotes inermis Swinhoe, 1870",고라니,128.675111,37.442778,2018-11-29,2018,강원도
1010,8228,"Hydropotes inermis Swinhoe, 1870",고라니,128.410556,36.229722,2018-06-10,2018,경상북도
1011,36523,"Hydropotes inermis Swinhoe, 1870",고라니,129.138114,36.595961,2018-04-04,2018,경상북도
1012,25302,"Hydropotes inermis Swinhoe, 1870",고라니,128.629482,38.076567,2018-06-10,2018,강원도
1013,41951,"Hydropotes inermis Swinhoe, 1870",고라니,128.113061,36.973503,2018-09-15,2018,충청북도
1014,36117,"Hydropotes inermis Swinhoe, 1870",고라니,127.54299,35.963218,2018-05-24,2018,전라북도
1015,4085,"Hydropotes inermis Swinhoe, 1870",고라니,128.675472,37.443083,2018-11-29,2018,강원도
1016,37844,"Hydropotes inermis Swinhoe, 1870",고라니,128.705747,37.631838,2018-08-25,2018,강원도
1017,41674,"Hydropotes inermis Swinhoe, 1870",고라니,128.534358,37.073817,2018-11-15,2018,충청북도
1018,39086,"Hydropotes inermis Swinhoe, 1870",고라니,128.833981,37.690618,2018-11-02,2018,강원도
1019,8234,"Hydropotes inermis Swinhoe, 1870",고라니,128.414167,36.231944,2018-06-10,2018,경상북도
1020,41756,"Hydropotes inermis Swinhoe, 1870",고라니,129.047547,36.706719,2018-08-15,2018,경상북도
1021,42993,"Hydropotes inermis Swinhoe, 1870",고라니,128.790111,35.929694,2018-09-27,2018,경상북도
1022,16509,"Hydropotes inermis Swinhoe, 1870",고라니,129.118382,37.062864,2018-07-19,2018,경상북도
1023,41576,"Hydropotes inermis Swinhoe, 1870",고라니,129.2133,36.525403,2018-11-14,2018,경상북도
1024,16511,"Hydropotes inermis Swinhoe, 1870",고라니,129.120998,37.051428,2018-07-19,2018,경상북도
1025,42107,"Hydropotes inermis Swinhoe, 1870",고라니,128.821361,36.063,2018-06-18,2018,경상북도
